id,year_recorded,month_recorded,day_recorded,age_of_pump,date_recorded_distance_days_20140101,funder_num,installer_num,wpt_name_num,basin_num,subvillage_num,region_num,lga_num,ward_num,public_meeting_num,recorded_by_num,scheme_management_num,scheme_name_num,permit_num,extraction_type_num,extraction_type_group_num,extraction_type_class_num,management_num,management_group_num,payment_num,payment_type_num,water_quality_num,quality_group_num,quantity_num,quantity_group_num,source_num,source_type_num,source_class_num,waterpoint_type_num,waterpoint_type_group_num,funder_freq,installer_freq,basin_freq,region_freq,lga_freq,ward_freq,scheme_name_freq,funder_clean_num,installer_clean_num,funder_clean_freq,installer_clean_freq,5_nearest_functional,5_nearest_need_repair,5_nearest_broken,10_nearest_functional,10_nearest_need_repair,10_nearest_broken,20_nearest_functional,20_nearest_need_repair,20_nearest_broken,40_nearest_functional,40_nearest_need_repair,40_nearest_broken
50785,2013,2,4,1,331,345,426,2669,0,9934,8,63,18,1,0,3,791,1,9,6,3,3,2,0,2,6,2,3,3,5,3,1,6,5,241,125,9642,1972,385,29,144,341,402,237,476,3,0,2,6,2,2,12,4,4,18,4,18
51630,2013,2,4,13,331,507,442,7473,5,6897,0,0,693,1,0,7,2570,1,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1,11720,22961,11143,4111,1521,93,39,506,423,11299,21758,2,2,1,5,4,1,12,5,3,25,5,10
17168,2013,2,1,3,334,2140,2394,41112,0,13539,18,109,1792,1,0,7,2312,2,9,6,3,7,4,0,2,6,2,2,2,5,3,1,6,5,2716,2169,9642,2536,1202,52,15,0,0,-1,-1,1,0,4,1,0,9,5,0,15,12,2,26
45559,2013,1,22,26,344,443,545,24064,7,7143,7,49,1283,1,0,7,2851,1,9,6,3,7,4,6,6,6,2,0,0,7,5,0,6,5,43,43,5587,1920,205,7,32078,437,494,41,41,1,0,4,1,0,9,2,0,18,9,0,31
49871,2013,3,27,13,280,150,164,24521,7,9033,16,61,1157,1,0,10,157,1,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1,26,28,5587,3306,943,69,92,150,178,25,25,3,0,2,7,0,3,17,0,3,33,0,7
52449,2013,3,4,23,303,507,442,34034,5,10850,0,0,373,1,0,7,2609,1,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1,11720,22961,11143,4111,1521,104,45,506,423,11299,21758,5,0,0,7,0,3,14,0,6,30,1,9
24806,2011,3,2,4,1036,507,634,45683,6,6208,3,34,997,1,0,7,2851,1,4,2,1,7,4,0,2,4,4,1,1,3,0,0,4,3,11720,492,9987,6599,434,35,32078,506,552,11299,653,1,0,4,3,0,7,8,0,12,16,1,23
28965,2013,1,25,31,341,444,566,20031,7,3621,12,116,1128,1,0,10,192,1,14,10,5,7,4,0,2,6,2,0,0,3,0,0,2,1,293,280,5587,2144,346,15,856,438,495,281,267,0,0,5,0,0,10,0,0,20,1,0,39
36301,2013,1,23,16,343,1961,1015,23413,7,511,12,88,1311,1,0,7,1218,0,3,1,0,7,4,4,5,6,2,2,2,8,6,0,1,1,1335,511,5587,2144,271,20,79,1939,929,1324,506,0,0,5,1,0,9,2,1,17,3,1,36
54122,2013,3,18,10,289,872,1043,12679,5,2146,6,106,1903,1,0,10,43,1,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1,229,229,11143,5494,550,297,4,863,922,229,229,5,0,0,10,0,0,20,0,0,40,0,0
419,2013,10,3,7,90,486,229,9468,5,19064,6,16,955,1,0,10,1198,1,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1,776,808,11143,5494,780,86,128,480,228,765,765,5,0,0,9,0,1,17,0,3,36,0,4
45750,2013,2,27,11,308,2108,2296,43411,5,18751,8,108,1840,1,0,7,2851,1,9,6,3,7,4,0,2,6,2,0,0,5,3,1,6,5,1613,531,11143,1972,372,8,32078,2085,2065,1563,867,0,0,5,3,0,7,8,1,11,20,6,14
653,2012,10,11,8,447,2106,202,25740,0,1952,19,19,446,1,0,2,2768,1,7,4,2,7,4,6,6,6,2,0,0,3,0,0,2,1,1737,1,9642,2466,419,7,76,2083,181,1701,4,0,0,5,0,0,10,0,0,20,2,0,38
14017,2011,7,29,11,887,1090,442,3460,4,3726,13,45,99,1,0,7,1698,1,7,4,2,7,4,4,5,6,2,1,1,3,0,0,2,1,737,22961,12871,3897,788,21,10,1081,423,728,21758,0,0,5,2,0,8,6,0,14,20,0,20
44607,2011,3,2,27,1036,293,383,45683,6,21263,3,24,1369,1,0,7,1515,1,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1,4007,696,9987,6599,914,79,51,288,345,3907,786,4,0,1,8,0,2,18,0,2,34,0,6
40228,2013,6,3,24,212,293,442,11335,7,12742,16,111,1590,1,0,7,1789,1,3,1,0,7,4,2,0,6,2,1,1,6,4,1,2,1,4007,22961,5587,3306,876,52,18,288,423,3907,21758,4,1,0,8,2,0,12,6,2,18,15,7
27714,2011,2,24,9,1042,507,442,8018,6,265,14,53,530,1,0,7,2851,0,8,5,1,7,4,0,2,6,2,1,1,7,5,0,4,3,11720,22961,9987,3331,170,134,32078,0,0,-1,-1,3,2,0,6,3,1,14,4,2,27,7,6
28785,2011,3,11,33,1027,507,442,32979,5,9839,20,52,1797,1,0,7,2483,1,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1,11720,22961,11143,3186,870,39,33,506,423,11299,21758,3,0,2,7,0,3,15,0,5,19,0,21
28330,2012,10,6,10,452,1589,442,42672,3,927,17,9,1831,1,0,3,2851,1,3,1,0,3,2,6,6,6,2,3,3,5,3,1,1,1,338,22961,8052,6293,653,43,32078,1571,423,338,21758,3,0,2,7,0,3,13,2,5,25,3,12
18532,2013,2,2,31,333,444,566,32375,7,8895,12,116,157,1,0,10,192,1,14,10,5,7,4,0,2,6,2,0,0,3,0,0,1,1,293,280,5587,2144,346,14,856,438,495,281,267,0,0,5,0,1,9,0,3,17,3,7,30
69961,2013,3,12,3,295,0,1,43411,8,7385,1,119,2065,1,0,5,2851,0,14,10,5,2,1,0,2,6,2,1,1,3,0,0,1,1,-1,-1,7577,1020,266,12,32078,0,0,-1,-1,1,0,4,4,0,6,9,0,11,20,0,20
55083,2011,3,7,3,1031,376,442,45683,6,11106,3,91,2086,1,0,7,1172,0,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1,617,22961,9987,6599,3128,43,24,372,423,605,21758,3,1,1,5,2,3,11,2,7,30,2,8
8691,2013,2,4,8,331,1841,442,29605,3,6144,5,31,1391,1,0,7,2851,1,9,6,3,7,4,6,6,3,3,1,1,7,5,0,6,5,1153,22961,8052,3533,1015,24,32078,1821,423,1136,21758,0,0,5,0,0,10,1,0,19,7,0,33
30331,2013,2,9,43,326,28,442,368,0,14127,18,109,1531,1,0,7,1201,2,7,4,2,7,4,6,6,7,5,0,0,3,0,0,1,1,334,22961,9642,2536,1202,29,533,0,0,-1,-1,0,0,5,4,1,5,7,3,10,15,3,22
