id,year_recorded,month_recorded,day_recorded,age_of_pump,date_recorded_distance_days_20140101,funder_num,installer_num,wpt_name_num,basin_num,subvillage_num,region_num,lga_num,ward_num,public_meeting_num,recorded_by_num,scheme_management_num,scheme_name_num,permit_num,extraction_type_num,extraction_type_group_num,extraction_type_class_num,management_num,management_group_num,payment_num,payment_type_num,water_quality_num,quality_group_num,quantity_num,quantity_group_num,source_num,source_type_num,source_class_num,waterpoint_type_num,waterpoint_type_group_num
50785,2013,2,4,1,331,346,427,2669,0,9935,8,63,18,1,0,4,0,1,9,6,3,3,2,0,2,6,2,3,3,5,3,1,6,5
51630,2013,2,4,13,331,508,443,7473,5,6898,0,0,693,1,0,8,2571,1,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1
17168,2013,2,1,3,334,0,0,41112,0,13540,18,109,1792,1,0,8,2313,2,9,6,3,7,4,0,2,6,2,2,2,5,3,1,6,5
45559,2013,1,22,26,344,444,546,24064,7,7144,7,49,1283,2,0,8,0,1,9,6,3,7,4,6,6,6,2,0,0,7,5,0,6,5
49871,2013,3,27,13,280,151,165,24521,7,9034,16,61,1157,2,0,11,158,1,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1
52449,2013,3,4,23,303,508,443,34034,5,10851,0,0,373,1,0,8,2610,1,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
24806,2011,3,2,4,1036,508,635,45683,6,6209,3,34,997,1,0,8,0,1,4,2,1,7,4,0,2,4,4,1,1,3,0,0,4,3
28965,2013,1,25,31,341,445,567,20031,7,3622,12,116,1128,1,0,11,193,1,14,10,5,7,4,0,2,6,2,0,0,3,0,0,2,1
36301,2013,1,23,16,343,1962,1016,23413,7,512,12,88,1311,1,0,8,1219,0,3,1,0,7,4,4,5,6,2,2,2,8,6,0,1,1
54122,2013,3,18,10,289,873,1044,12679,5,2147,6,106,1903,1,0,11,44,1,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1
419,2013,10,3,7,90,487,230,9468,5,19065,6,16,955,1,0,11,1199,1,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1
45750,2013,2,27,11,308,2109,2297,43411,5,18752,8,108,1840,1,0,0,0,1,9,6,3,7,4,0,2,6,2,0,0,5,3,1,6,5
653,2012,10,11,2012,447,2107,203,25740,0,1953,19,19,446,1,0,3,2769,1,7,4,2,7,4,6,6,6,2,0,0,3,0,0,2,1
14017,2011,7,29,2011,887,1091,443,3460,4,3727,13,45,99,1,0,8,1699,1,7,4,2,7,4,4,5,6,2,1,1,3,0,0,2,1
44607,2011,3,2,27,1036,294,384,45683,6,21264,3,24,1369,1,0,8,1516,1,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
40228,2013,6,3,24,212,294,443,11335,7,12743,16,111,1590,1,0,8,1790,1,3,1,0,7,4,2,0,6,2,1,1,6,4,1,2,1
27714,2011,2,24,2011,1042,0,0,8018,6,266,14,53,530,1,0,8,0,0,8,5,1,7,4,0,2,6,2,1,1,7,5,0,4,3
28785,2011,3,11,33,1027,508,443,32979,5,9840,20,52,1797,1,0,8,2484,1,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
28330,2012,10,6,2012,452,1590,443,42672,3,928,17,9,1831,1,0,4,0,1,3,1,0,3,2,6,6,6,2,3,3,5,3,1,1,1
18532,2013,2,2,31,333,445,567,32375,7,8896,12,116,157,1,0,11,193,1,14,10,5,7,4,0,2,6,2,0,0,3,0,0,1,1
