id,year_recorded,month_recorded,day_recorded,age_of_pump,date_recorded_distance_days_20140101
69572,2011,3,14,12,1024
8776,2013,3,6,3,301
34310,2013,2,25,4,310
67743,2013,1,28,27,338
19728,2011,7,13,2011,903
9944,2011,3,13,2,1025
19816,2012,10,1,2012,457
54551,2012,10,9,2012,449
53934,2012,11,3,2012,424
46144,2011,8,3,2011,882
49056,2011,2,20,0,1046
50409,2013,2,18,26,317
36957,2012,10,14,2012,444
50495,2013,3,15,4,292
53752,2012,10,20,2012,438
61848,2011,8,4,20,881
48451,2011,7,4,33,912
58155,2011,9,4,33,850
34169,2011,7,22,12,894
18274,2011,2,22,19,1044
48375,2011,2,27,3,1039
6091,2013,2,10,2013,325
58500,2011,10,4,33,820
37862,2013,11,3,2,59
51058,2013,1,21,4,345
22308,2013,2,25,39,310
55012,2013,1,16,2,350
20145,2011,7,11,2011,905
19685,2013,3,5,13,302
69124,2013,3,16,11,291
46804,2011,3,23,2011,1015
6696,2011,3,16,7,1022
57238,2013,3,19,41,288
12402,2011,3,11,19,1027
41583,2011,2,23,2011,1043
57355,2013,3,28,13,279
67359,2011,7,16,2011,900
60048,2011,3,27,2011,1011
16583,2011,2,20,8,1046
25,2013,2,11,11,324
70238,2013,10,3,5,90
12796,2011,3,12,25,1026
52019,2011,7,7,0,909
19282,2013,1,15,33,351
1843,2013,3,18,13,289
12958,2012,10,22,2012,436
45111,2013,2,5,9,330
13620,2011,7,27,2011,889
18864,2011,2,20,8,1046
25182,2011,4,4,4,1003
3228,2013,2,21,5,314
19308,2011,8,18,38,867
10745,2011,7,31,2011,885
32376,2011,8,1,2011,884
9417,2011,7,14,2011,902
68724,2013,2,22,5,313
74197,2013,7,3,5,182
22961,2013,8,3,4,151
24593,2013,1,22,13,344
31714,2011,7,7,2011,909
29952,2011,3,13,12,1025
40393,2011,3,22,19,1016
2127,2013,1,16,28,350
8265,2013,5,3,11,243
67433,2013,1,19,9,347
51072,2013,2,9,43,326
34255,2011,2,22,1,1044
22108,2011,7,31,2011,885
4720,2011,1,4,33,1093
54801,2013,2,4,9,331
21990,2011,3,5,16,1033
17386,2011,3,31,2011,1007
41609,2011,4,4,2011,1003
35715,2013,2,27,22,308
53970,2013,1,16,4,350
62971,2011,8,7,2011,878
63542,2011,3,23,3,1015
15622,2013,3,18,39,289
12903,2011,3,30,19,1008
52561,2012,10,23,2012,435
19415,2011,3,2,9,1036
65531,2011,3,4,7,1034
3675,2013,3,14,2,293
34383,2012,10,22,2012,436
30423,2012,10,18,10,440
68717,2011,8,8,2011,877
3688,2011,2,20,11,1046
30537,2011,9,5,2011,849
27312,2011,3,12,3,1026
22143,2011,4,11,2011,996
43237,2013,1,17,7,349
62591,2013,1,20,7,346
39920,2011,3,23,24,1015
70892,2013,2,18,5,317
48593,2011,7,11,2011,905
26419,2013,1,27,6,339
68554,2013,2,11,35,324
29083,2011,8,4,2011,881
33379,2013,2,19,35,316
43206,2012,10,6,2012,452
41743,2011,8,4,49,881
17970,2013,1,17,3,349
25693,2013,2,5,11,330
39364,2013,2,13,2,322
57580,2013,2,26,14,309
23000,2013,2,16,3,319
59902,2013,2,17,2013,318
60371,2011,7,21,2011,895
74246,2011,3,7,11,1031
7116,2011,7,12,2011,904
64063,2013,5,3,9,243
59983,2013,7,3,8,182
10784,2011,7,17,2011,899
49503,2011,4,7,2011,1000
54248,2011,4,10,2011,997
24409,2011,7,17,2011,899
21068,2011,3,7,14,1031
62341,2013,1,22,13,344
10837,2012,10,29,15,429
35458,2013,2,26,9,309
36038,2011,2,25,11,1041
64447,2011,7,14,2011,902
22897,2011,7,22,2011,894
2915,2013,3,14,1,293
14016,2011,4,7,2011,1000
69525,2012,10,11,2012,447
73061,2013,2,14,13,321
42031,2011,3,23,3,1015
33235,2012,10,5,2012,453
41839,2011,7,27,2011,889
62002,2011,7,19,2011,897
6106,2013,3,16,2013,291
25915,2011,4,15,2011,992
20673,2012,10,23,2012,435
59475,2011,3,5,3,1033
24012,2011,3,17,4,1021
69107,2011,7,11,2011,905
64062,2013,1,25,7,341
44002,2011,7,16,2011,900
37471,2011,7,22,2011,894
49585,2011,10,7,2011,817
60852,2011,3,17,7,1021
64130,2012,10,23,2012,435
17687,2011,8,3,37,882
38876,2011,2,24,39,1042
28669,2013,3,21,2013,286
73769,2011,8,2,2011,883
66521,2011,2,3,1,1063
53167,2013,1,24,26,342
24232,2011,4,7,2011,1000
65788,2012,10,21,4,437
72981,2011,4,16,2011,991
60983,2013,3,16,43,291
37768,2013,2,22,17,313
64880,2013,2,3,17,332
32871,2013,2,24,4,311
45564,2011,4,2,2011,1005
23519,2012,10,19,2012,439
50173,2012,10,20,2012,438
66843,2013,1,30,3,336
13815,2011,3,3,2,1035
36591,2011,8,17,25,868
71845,2011,3,28,33,1010
42180,2013,1,21,36,345
63632,2011,7,23,2011,893
55594,2013,1,25,4,341
11787,2012,10,23,2012,435
48528,2013,2,6,3,329
72678,2013,1,30,2013,336
50970,2013,2,5,9,330
37840,2013,2,27,30,308
44258,2011,8,11,39,874
10715,2011,3,9,1,1029
12120,2011,3,18,14,1020
67980,2011,3,11,14,1027
41635,2011,7,16,39,900
14884,2013,3,7,1,300
56725,2013,1,17,2013,349
33037,2011,8,14,2011,871
22190,2011,3,12,3,1026
47459,2011,3,2,27,1036
68908,2011,3,5,2011,1033
62670,2013,9,3,7,120
60866,2011,8,17,25,868
2136,2011,2,22,2011,1044
33320,2011,2,16,2,1050
58126,2011,4,3,2011,1004
45604,2011,7,9,2011,907
67428,2011,4,12,2011,995
52318,2011,4,14,2011,993
33347,2013,1,25,3,341
36684,2011,3,10,11,1028
41034,2011,2,24,2011,1042
112,2011,3,14,1,1024
4807,2011,4,14,24,993
41845,2013,2,22,2,313
6065,2013,3,25,35,282
37187,2013,2,28,51,307
26540,2013,1,18,35,348
8879,2012,10,10,2012,448
30377,2011,8,1,2011,884
20203,2013,2,27,23,308
8060,2011,2,22,1,1044
59630,2011,7,3,2,913
10068,2011,7,27,2011,889
34609,2011,8,5,2011,880
26701,2011,7,20,2011,896
46897,2013,3,13,1,294
34636,2011,3,15,29,1023
52520,2013,3,18,4,289
75,2011,1,4,33,1093
31626,2011,7,18,2011,898
3181,2013,1,20,28,346
43098,2011,4,4,2011,1003
37008,2013,3,3,2,304
34853,2011,11,7,2011,786
48752,2013,4,4,37,272
31132,2012,10,16,2012,442
37562,2013,3,23,13,284
28740,2011,4,10,2011,997
30257,2013,1,15,3,351
53212,2013,3,21,11,286
40729,2013,4,3,11,273
48695,2013,2,8,8,327
35140,2011,3,21,23,1017
46814,2013,1,22,4,344
7721,2011,4,5,15,1002
63695,2013,1,16,8,350
7171,2012,10,15,2012,443
58838,2011,8,7,2011,878
61046,2011,4,2,12,1005
68347,2011,7,27,29,889
14746,2013,1,16,13,350
14952,2013,1,20,7,346
64334,2013,2,19,5,316
72374,2011,3,28,2011,1010
33169,2013,2,14,2013,321
4907,2011,2,27,6,1039
49994,2011,4,14,2011,993
59588,2011,8,8,2011,877
46893,2011,3,30,5,1008
16944,2011,7,11,2011,905
35828,2011,3,30,2011,1008
24377,2011,3,2,2,1036
51694,2011,3,9,22,1029
70241,2011,8,4,2011,881
1780,2011,3,15,20,1023
39490,2011,3,19,7,1019
21704,2013,6,3,5,212
35193,2011,3,16,4,1022
24948,2011,3,27,2,1011
6076,2013,1,22,38,344
18451,2013,3,29,53,278
13042,2012,10,29,2012,429
34877,2011,3,5,8,1033
10891,2012,10,28,2012,430
33500,2011,7,18,2011,898
1012,2013,2,3,27,332
4321,2011,3,2,27,1036
41162,2011,7,15,24,901
31957,2011,7,11,2011,905
15815,2013,1,19,39,347
47462,2011,4,2,2011,1005
28110,2012,10,12,2012,446
52448,2011,3,18,2011,1020
18832,2013,3,14,2,293
62720,2013,2,14,5,321
14326,2013,3,16,2,291
36933,2011,3,28,2011,1010
65093,2013,1,22,39,344
50139,2011,7,29,2011,887
36455,2012,10,10,2012,448
49732,2011,8,6,2011,879
20200,2012,10,13,2012,445
43777,2013,1,16,25,350
42497,2013,2,14,23,321
52601,2011,3,21,16,1017
65530,2011,3,13,50,1025
73024,2013,3,2,41,305
18842,2011,7,22,27,894
9474,2013,2,12,31,323
44434,2013,1,29,3,337
36366,2012,10,10,2012,448
47236,2013,1,4,11,362
8633,2013,2,3,16,332
71487,2012,10,25,2012,433
46268,2013,2,24,37,311
36093,2012,11,13,2012,414
2591,2013,2,1,22,334
69669,2013,2,8,5,327
67377,2011,8,10,41,875
51185,2013,1,28,15,338
24049,2013,8,3,4,151
70835,2013,3,15,21,292
74176,2013,3,17,50,290
68037,2011,4,12,2011,995
10992,2013,1,27,31,339
45886,2011,8,7,12,878
64793,2011,7,9,2011,907
40808,2013,2,1,35,334
62565,2011,7,30,2011,886
70379,2011,7,18,2011,898
10089,2012,10,12,2012,446
37364,2011,7,15,2011,901
43345,2012,10,23,2012,435
39310,2011,7,17,2011,899
59713,2011,7,30,2011,886
28945,2011,8,4,2011,881
5074,2013,2,21,3,314
54009,2011,2,21,2011,1045
35563,2013,2,12,3,323
17668,2011,4,3,2011,1004
30390,2011,7,14,2011,902
1298,2011,7,31,2011,885
2993,2011,2,17,14,1049
63712,2013,2,5,23,330
61979,2011,8,19,27,866
39704,2013,2,15,42,320
29191,2011,3,13,12,1025
35649,2011,4,4,2011,1003
15840,2013,2,2,2013,333
45415,2013,1,22,2013,344
8055,2011,4,12,2011,995
51403,2013,2,16,2013,319
33963,2013,2,21,2013,314
21669,2011,7,29,37,887
7900,2011,7,18,2011,898
337,2013,1,26,4,340
17861,2013,2,17,5,318
13195,2011,4,6,2011,1001
54722,2013,1,18,35,348
2845,2011,8,4,17,881
17111,2011,3,27,2011,1011
21338,2012,10,23,2012,435
49326,2012,10,5,2012,453
15358,2013,2,9,15,326
33040,2011,3,19,2011,1019
40592,2011,4,4,11,1003
29513,2011,3,23,27,1015
51163,2011,8,21,3,864
40920,2012,10,15,2012,443
65101,2011,3,9,16,1029
21127,2011,3,16,2011,1022
67822,2013,11,3,14,59
14135,2013,2,21,8,314
10458,2013,3,24,41,283
